Function,Dimension,Algorithm,Min_Fitness,Max_Fitness,Mean_Fitness,Std_Fitness
Rastrigin,5,PopulationV3_SelfAdaptive_GPU,2.9848773655222374,10.94451955911633,7.7606701859391025,2.644911139501334
Rastrigin,10,PopulationV3_SelfAdaptive_GPU,15.91933649539574,46.76294544675854,30.147186256796495,8.92444986077573
Rosenbrock,5,PopulationV3_SelfAdaptive_GPU,0.0005672287663302534,0.18668997307825835,0.0576789723752444,0.07745651751503156
Rosenbrock,10,PopulationV3_SelfAdaptive_GPU,0.08987579742873975,4.507010060731216,1.8063807671048882,1.626901960723229
Sphere,5,PopulationV3_SelfAdaptive_GPU,3.1622254209511254e-10,7.075666094919141e-10,4.45228831414011e-10,1.2352498334409555e-10
Sphere,10,PopulationV3_SelfAdaptive_GPU,5.618445447821238e-09,1.4883365089409488e-08,9.738951515003314e-09,3.501960685237378e-09
